gene,mean_abs_shap
ENSG00000253522.6,0.13054342618212206
ENSG00000169884.14,0.10620511691586826
ENSG00000250144.1,0.07340423489229801
ENSG00000286747.1,0.06970684155592485
ENSG00000265206.5,0.06236352420536786
ENSG00000089356.18,0.05976974850443381
ENSG00000216866.5,0.056509682108560805
ENSG00000136014.12,0.0522743076741735
ENSG00000250986.1,0.05152368247634584
ENSG00000166428.14,0.04969075068787967
ENSG00000137691.13,0.045851517401066626
ENSG00000006453.14,0.04387830712471026
ENSG00000279900.1,0.04064204264731197
ENSG00000109255.11,0.03949334290162274
ENSG00000137699.17,0.03815532600222887
ENSG00000283907.1,0.03783320591927662
ENSG00000198435.4,0.037178462081874086
ENSG00000147689.16,0.036915356737735126
ENSG00000264456.1,0.035320310840687257
ENSG00000072818.12,0.03467669179822607
